Periodo,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Enero,9.76,10.8,7.29,6.29,5.27,6.05,8.85,6.2,6.21,9.04,8.08,6.22,8.39,7.88,1.43,4.9,5.44,3.86,4.14,2.32,4.38,3.83,4.71,4.1,1.78,5.24,2.87,9.69
Febrero,10.83,12.66,5.45,5.17,6.62,5.99,9.01,6,6.26,9.04,7.26,6.62,8.76,6.5,2.48,5.24,5.17,4.18,3.5,2.44,4.27,3.96,4.15,4.46,1.24,6,2.98,9.92
Marzo,11.48,11.51,6.11,3.99,8.28,5.42,9.13,5.78,6.57,8.77,7.28,7.02,9.1,5,3.93,4.99,4.55,4.34,3.25,2.43,4.26,4,4.14,4.17,1.77,5.84,4.17,8.71
Abril,11.95,10.13,6.94,3.47,9.07,4.87,9.25,5.67,6.65,8.88,7.48,6.4,10.37,3.62,3.75,5.76,4.27,4.13,3.27,2.58,4.09,4.09,3.92,4.75,1.88,5.2,4.62,8.32
Mayo,11.02,9.61,7.32,3.73,7.36,6.05,9.31,5.56,7.27,8.52,7.62,5.47,12.24,2.29,3.51,6.39,3.9,4.27,3.22,2.55,4.36,3.93,4.09,4.54,1.8,5.17,5.82,6.54
Junio,10.34,8.97,7.43,4.22,7.23,6.3,9.14,5.24,7.4,8.8,7.55,5.31,13.56,0.62,4.07,6.42,3.47,4.79,3.13,2.39,4.43,4.36,3.79,4.8,2.39,3.91,7.55,4.93
Julio,11.6,7.98,7.27,5.22,6.14,6.97,9.1,4.65,7.64,9.3,7.04,5.59,14.16,-0.3,4.12,7.04,2.86,4.74,3.41,2.32,4.62,5.22,2.61,4.37,2.88,3.82,8.36,4.53
Agosto,12.03,8.05,6.31,6.03,4.71,8.79,7.73,4.96,7.66,9.37,7,6.21,13.69,-0.73,4.1,7.63,2.71,4.42,3.7,1.96,4.74,4.72,3.36,3.01,4.19,3.62,8.87,4.47
Septiembre,11.77,8.33,5.49,6.79,4.29,8.99,7.1,5.68,8.05,9.45,5.7,7.33,12.75,0.03,3.76,7.25,3.28,4.21,3.45,1.88,4.56,4.36,4.55,1.8,4.97,3.67,9.03,4.69
Octubre,10.64,8.48,4.97,7.57,3.84,9.47,6.6,5.84,8.64,10.29,3.85,7.72,12.93,-0.65,4.51,6.65,3.35,4.15,3.64,2.23,4.76,4.2,4.34,2.17,5.34,2.96,9.7,
Noviembre,10.44,7.66,7.35,5.15,4.17,9.51,6.34,5.84,9.22,9.25,4.4,9.13,10.85,-0.61,5.25,6.05,3.11,4.63,3.38,2.51,4.67,4.69,3.15,2.92,5.46,2.89,9.17,
Diciembre,10.85,7.13,7.48,4.92,5.08,8.91,6.33,5.85,9.23,8.57,5.79,8.75,9.4,-0.28,5.39,6.2,3.45,4.39,2.95,3.07,4.23,5.68,2.31,3.41,4.82,3.07,9.24,